##Checked genes Ensembl
##date=20/5/2021
##Gene stable ID	HGNC symbol	Transcript_stable_ID
AT3G05780	LON3	AT3G05780.1
AT1G24405		AT1G24405.1
AT2G27490	COAE	AT2G27490.2
AT3G13276		AT3G13276.1
AT1G71740		AT1G71740.1
AT1G52920	GCR2	AT1G52920.1
AT2G17370	HMG2	AT2G17370.1
AT4G13615		AT4G13615.1
AT3G46680	UGT76E6	AT3G46680.1
AT1G70830	MLP28	AT1G70830.1
AT2G34090	MEE18	AT2G34090.4
AT1G65541		AT1G65541.1
AT2G01050		AT2G01050.1
AT2G07751		AT2G07751.1
AT4G20565		AT4G20565.1
AT1G61566	RALFL9	AT1G61566.1
AT4G29530		AT4G29530.1
AT5G09225		AT5G09225.1
AT1G21100	IGMT1	AT1G21100.1
AT1G73150	GTE3	AT1G73150.1
AT3G51750		AT3G51750.3
AT1G07010		AT1G07010.3
AT1G32080	PLGG1	AT1G32080.1
AT1G16710	HAC12	AT1G16710.1
AT1G07590		AT1G07590.1
AT5G49170		AT5G49170.1
AT2G40240		AT2G40240.1
AT4G30380		AT4G30380.2
AT2G20619		AT2G20619.1
AT3G05830		AT3G05830.2
AT5G11430		AT5G11430.3
AT1G20530		AT1G20530.1
AT4G23170	CRK9	AT4G23170.1
AT1G44780		AT1G44780.1
AT1G60880	AGL56	AT1G60880.1
AT1G06160	ERF094	AT1G06160.1
AT3G07260	FHA1	AT3G07260.1
AT1G21090		AT1G21090.1
AT1G76730	COG0212	AT1G76730.1
AT1G03970	GBF4	AT1G03970.1
AT5G19160	TBL11	AT5G19160.1
AT3G49744		AT3G49744.1
AT5G28820		AT5G28820.1
AT4G12530		AT4G12530.1
AT4G20050	QRT3	AT4G20050.5
AT5G53810		AT5G53810.1
AT2G28690		AT2G28690.1
AT5G01530	LHCB4.1	AT5G01530.1
AT3G62800	DBR4	AT3G62800.1
ATCG00900	RPS7-A	ATCG00900.1
AT3G11385		AT3G11385.1
AT5G07010	SOT15	AT5G07010.1
AT3G63040		AT3G63040.1
AT2G26570	WEB1	AT2G26570.1
AT3G05560	RPL22B	AT3G05560.3
AT5G12080	MSL10	AT5G12080.2
AT1G50870		AT1G50870.1
AT2G20610	SUR1	AT2G20610.1
AT5G02940		AT5G02940.2
AT1G68430		AT1G68430.1
AT1G66550	WRKY67	AT1G66550.1
AT1G09380		AT1G09380.1
AT3G48840		AT3G48840.1
AT5G61800	PCMP-E8	AT5G61800.1
AT5G01445		AT5G01445.1
AT4G35500		AT4G35500.2
AT1G80310	MOT2	AT1G80310.1
