#chr	strand	start	end	annotation
5	*	1041	1297	enhancer
5	*	30977	31282	enhancer
5	*	34308	34707	enhancer
5	*	40780	41166	enhancer
5	*	41399	42069	enhancer
5	*	74996	75500	enhancer
5	*	78054	79278	enhancer
5	*	79547	80028	enhancer
5	*	81093	81616	enhancer
5	*	84272	84531	enhancer
5	*	100899	101496	enhancer
5	*	140606	142439	enhancer
5	*	142513	143072	enhancer
5	*	154427	155223	enhancer
5	*	158612	159737	enhancer
5	*	159877	160126	enhancer
5	*	281715	282082	enhancer
5	*	283894	284441	enhancer
5	*	285285	285500	enhancer
5	*	312097	313710	enhancer
5	*	317200	317327	enhancer
5	*	318188	319004	enhancer
5	*	327234	327896	enhancer
5	*	329340	329619	enhancer
5	*	340136	340736	enhancer
5	*	357025	357583	enhancer
5	*	392840	393132	enhancer
5	*	460997	461243	enhancer
5	*	461354	461663	enhancer
5	*	465758	465844	enhancer
5	*	534711	535285	enhancer
5	*	536952	537402	enhancer
5	*	571169	571631	enhancer
5	*	581009	581517	enhancer
5	*	584372	584657	enhancer
5	*	607852	608665	enhancer
5	*	621164	621789	enhancer
5	*	622282	622526	enhancer
5	*	623114	623537	enhancer
5	*	669182	669595	enhancer
5	*	731467	732128	enhancer
5	*	737164	737621	enhancer
5	*	741768	742081	enhancer
5	*	742090	742662	enhancer
5	*	766206	767241	enhancer
5	*	771543	771831	enhancer
5	*	784257	784501	enhancer
5	*	785032	785845	enhancer
5	*	804315	804576	enhancer
5	*	828419	829283	enhancer
5	*	869043	869288	enhancer
5	*	895099	896024	enhancer
5	*	940950	942016	enhancer
5	*	942143	942602	enhancer
5	*	951193	951539	enhancer
5	*	952908	953110	enhancer
5	*	955927	956158	enhancer
5	*	961881	962417	enhancer
5	*	962791	962872	enhancer
5	*	968681	969400	enhancer
5	*	993320	993500	enhancer
5	*	1006883	1007267	enhancer
5	*	1021557	1021908	enhancer
5	*	1044377	1044679	enhancer
5	*	1116781	1117058	enhancer
5	*	1117090	1117849	enhancer
5	*	1118031	1118536	enhancer
5	*	1141266	1141542	enhancer
5	*	1202668	1203503	enhancer
5	*	1268896	1269241	enhancer
5	*	1269558	1270258	enhancer
5	*	1270561	1271294	enhancer
5	*	1296003	1296433	enhancer
5	*	1343324	1343770	enhancer
5	*	1343853	1344034	enhancer
5	*	1346015	1346413	enhancer
5	*	1353979	1354386	enhancer
5	*	1376214	1376487	enhancer
5	*	1382452	1382927	enhancer
5	*	1401293	1402158	enhancer
5	*	1416130	1416715	enhancer
5	*	1449782	1450094	enhancer
5	*	1480269	1480593	enhancer
5	*	1489821	1490277	enhancer
5	*	1504523	1505445	enhancer
5	*	1516295	1516837	enhancer
5	*	1517880	1518425	enhancer
5	*	1522415	1523336	enhancer
5	*	1523690	1524184	enhancer
5	*	1538519	1538810	enhancer
5	*	1579322	1579859	enhancer
5	*	1708273	1708722	enhancer
5	*	1709567	1709711	enhancer
5	*	1711271	1711799	enhancer
5	*	1712202	1712653	enhancer
5	*	1749741	1749967	enhancer
5	*	1815853	1816781	enhancer
5	*	1852806	1853803	enhancer
5	*	1892400	1892536	enhancer
5	*	1895964	1896188	enhancer
5	*	1898788	1899213	enhancer
5	*	1901650	1902093	enhancer
5	*	1913735	1914068	enhancer
5	*	1915177	1915596	enhancer
5	*	1950897	1951419	enhancer
5	*	1996257	1996834	enhancer
5	*	1997372	1997862	enhancer
5	*	1998126	1998868	enhancer
5	*	2065916	2066525	enhancer
5	*	2073579	2073716	enhancer
5	*	2074298	2074598	enhancer
5	*	2075525	2075841	enhancer
5	*	2100413	2100758	enhancer
5	*	2125341	2125758	enhancer
5	*	2126476	2127269	enhancer
5	*	2171005	2171159	enhancer
5	*	2178031	2178448	enhancer
5	*	2179019	2179687	enhancer
5	*	2225939	2226524	enhancer
5	*	2239313	2240114	enhancer
5	*	2241398	2242035	enhancer
5	*	2247911	2248251	enhancer
5	*	2290170	2290573	enhancer
5	*	2290600	2291203	enhancer
5	*	2291341	2291794	enhancer
5	*	2400575	2400795	enhancer
5	*	2400858	2401317	enhancer
5	*	2433611	2434137	enhancer
5	*	2557198	2558085	enhancer
5	*	2565351	2565749	enhancer
5	*	2605816	2606246	enhancer
5	*	2612730	2613103	enhancer
5	*	2614528	2615120	enhancer
5	*	2640665	2641198	enhancer
5	*	2678708	2679331	enhancer
5	*	2727144	2727864	enhancer
5	*	2797393	2798033	enhancer
5	*	2889794	2890112	enhancer
5	*	2933390	2934832	enhancer
5	*	2935533	2936107	enhancer
5	*	2936649	2936883	enhancer
5	*	2948218	2948771	enhancer
5	*	2948832	2949136	enhancer
5	*	2982918	2983559	enhancer
5	*	3020189	3020687	enhancer
5	*	3021157	3021582	enhancer
5	*	3049349	3049920	enhancer
5	*	3050027	3050602	enhancer
5	*	3054862	3055911	enhancer
5	*	3061897	3062173	enhancer
5	*	3062488	3062940	enhancer
5	*	3078349	3078587	enhancer
5	*	3107776	3108212	enhancer
5	*	3108613	3108942	enhancer
5	*	3140161	3141070	enhancer
5	*	3162986	3163346	enhancer
5	*	3164764	3165060	enhancer
5	*	3181496	3182222	enhancer
5	*	3235060	3235373	enhancer
5	*	3240940	3241297	enhancer
5	*	3243313	3244275	enhancer
5	*	3279790	3280474	enhancer
5	*	3313710	3314003	enhancer
5	*	3324372	3325030	enhancer
5	*	3343562	3344299	enhancer
5	*	3344861	3345233	enhancer
5	*	3383469	3383711	enhancer
5	*	3444223	3444930	enhancer
5	*	3465945	3466228	enhancer
5	*	3466334	3466822	enhancer
5	*	3471247	3471671	enhancer
5	*	3471858	3472368	enhancer
5	*	3477362	3479005	enhancer
5	*	3504574	3504973	enhancer
5	*	3505126	3506024	enhancer
5	*	3508017	3508889	enhancer
5	*	3513418	3513658	enhancer
5	*	3514078	3514298	enhancer
5	*	3522285	3522552	enhancer
5	*	3526110	3526579	enhancer
5	*	3526677	3527724	enhancer
5	*	3527811	3528286	enhancer
5	*	3528421	3529074	enhancer
5	*	3529366	3529645	enhancer
5	*	3529862	3530141	enhancer
5	*	3608735	3609313	enhancer
5	*	3610060	3610356	enhancer
5	*	3661627	3662261	enhancer
5	*	3662323	3662875	enhancer
5	*	3690691	3690982	enhancer
5	*	3692538	3692920	enhancer
5	*	3693382	3693795	enhancer
5	*	3721683	3721956	enhancer
5	*	3726992	3727296	enhancer
5	*	3730762	3730972	enhancer
5	*	3731032	3731264	enhancer
5	*	3731796	3732066	enhancer
5	*	3785116	3786104	enhancer
5	*	3797327	3797596	enhancer
5	*	3843134	3843383	enhancer
5	*	3843890	3844020	enhancer
5	*	3852710	3853078	enhancer
5	*	3856823	3857574	enhancer
5	*	3857770	3858636	enhancer
5	*	3865326	3865507	enhancer
5	*	3893655	3894493	enhancer
5	*	3991444	3991877	enhancer
5	*	4038626	4039789	enhancer
5	*	4067794	4068001	enhancer
5	*	4089287	4089609	enhancer
5	*	4152622	4152992	enhancer
5	*	4153125	4153438	enhancer
5	*	4161753	4162361	enhancer
5	*	4179575	4180264	enhancer
5	*	4184875	4185155	enhancer
5	*	4188602	4188917	enhancer
5	*	4189130	4189645	enhancer
5	*	4189931	4190403	enhancer
5	*	4190571	4190757	enhancer
5	*	4193007	4194004	enhancer
5	*	4201673	4202017	enhancer
5	*	4203104	4203912	enhancer
5	*	4216704	4217583	enhancer
5	*	4229089	4229779	enhancer
5	*	4239980	4240468	enhancer
5	*	4240890	4241337	enhancer
5	*	4275357	4276071	enhancer
5	*	4276325	4276600	enhancer
5	*	4277618	4277854	enhancer
5	*	4457419	4458549	enhancer
5	*	4520561	4520689	enhancer
5	*	4539972	4540320	enhancer
5	*	4564515	4565066	enhancer
5	*	4582865	4583206	enhancer
5	*	4589942	4590177	enhancer
5	*	4625010	4625501	enhancer
5	*	4625815	4626093	enhancer
5	*	4641845	4642154	enhancer
5	*	4673703	4674159	enhancer
5	*	4739631	4740049	enhancer
5	*	4761525	4761806	enhancer
5	*	4779339	4779937	enhancer
5	*	4796550	4797201	enhancer
5	*	4797648	4797754	enhancer
5	*	4830879	4831549	enhancer
5	*	4874366	4874795	enhancer
5	*	4912217	4912617	enhancer
5	*	4917783	4918365	enhancer
5	*	4918563	4918801	enhancer
5	*	4918866	4919122	enhancer
5	*	4925149	4925623	enhancer
5	*	4932610	4932921	enhancer
5	*	4940889	4941338	enhancer
5	*	4997299	4997690	enhancer
5	*	5046855	5047382	enhancer
5	*	5163165	5163990	enhancer
